2023-02-11 11:27:50,655 | INFO | ulauncher: main() | Ulauncher version 0.0.0
2023-02-11 11:27:50,656 | INFO | ulauncher: main() | Extension API version 2.0.0
2023-02-11 11:27:50,656 | INFO | ulauncher: main() | GTK+ 3.24.36
2023-02-11 11:27:50,656 | INFO | ulauncher: main() | Is Wayland: False
2023-02-11 11:27:50,656 | INFO | ulauncher: main() | Wayland compatibility: off
2023-02-11 11:27:50,676 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2023-02-11 11:27:50,679 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2023-02-11 11:27:50,679 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2023-02-11 11:27:50,679 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2023-02-11 11:27:50,680 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2023-02-11 11:27:50,681 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2023-02-11 11:27:50,681 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2023-02-11 11:27:50,681 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2023-02-11 11:27:50,681 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2023-02-11 11:27:50,681 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2023-02-11 11:27:50,694 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 11:27:50,695 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 11:27:50,707 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-02-11 11:27:50,710 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2023-02-11 11:27:50,711 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2023-02-11 11:27:50,730 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: Super_L
2023-02-11 11:27:50,757 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 166 apps in cache
2023-02-11 11:27:50,764 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/tommi/.local/share/applications/EmuDeck.desktop": constructor returned NULL
2023-02-11 11:27:50,778 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kwin_rules_dialog.desktop": constructor returned NULL
2023-02-11 11:27:50,782 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kded5.desktop": constructor returned NULL
2023-02-11 11:27:50,795 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/evolution-calendar.desktop": constructor returned NULL
2023-02-11 11:27:50,800 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kdeconnect_open.desktop": constructor returned NULL
2023-02-11 11:27:50,800 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/kipiplugins.desktop": constructor returned NULL
2023-02-11 11:27:50,818 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 166 apps in the system
2023-02-11 11:27:50,818 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.11 seconds
2023-02-11 11:27:50,826 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2023-02-11 11:28:19,882 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 11:28:19,882 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 11:28:19,898 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:28:20,236 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for steamdeck-gaming-return. E: gtk-icon-theme-error-quark: Icon 'steamdeck-gaming-return' not present in theme BigSur-dark (0)
2023-02-11 11:28:20,238 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for appimagekit_41b40c901e2b5bc5317584c4f8b90dd4_PCSX2. E: gtk-icon-theme-error-quark: Icon 'appimagekit_41b40c901e2b5bc5317584c4f8b90dd4_PCSX2' not present in theme BigSur-dark (0)
2023-02-11 11:28:20,488 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:28:20,493 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-11 11:28:20,582 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-11 11:28:20,759 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2023-02-11 11:28:21,153 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Oracle VM VirtualBox (/usr/share/applications/virtualbox.desktop) Exec ['VirtualBox']
2023-02-11 11:28:21,162 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:55:05,276 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 11:55:05,276 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 11:55:05,280 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:55:06,878 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 11:55:06,878 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 11:55:06,882 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:55:07,518 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 11:55:07,518 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 11:55:07,522 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:56:20,890 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Spotify (adblock)" (/usr/share/applications/spotify_modded.desktop)
2023-02-11 11:56:24,002 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 11:56:24,002 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 11:56:24,007 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:56:24,283 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-11 11:56:24,540 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-02-11 11:56:24,775 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2023-02-11 11:56:24,786 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-02-11 11:56:24,864 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:56:25,067 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-02-11 11:56:25,973 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-02-11 11:56:26,216 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-02-11 11:56:51,291 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 11:56:51,291 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 11:56:51,297 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:56:51,567 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-11 11:56:51,770 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-02-11 11:56:51,992 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2023-02-11 11:56:52,080 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-02-11 11:56:52,084 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-11 11:56:52,740 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Spotify (adblock) (/usr/share/applications/spotify_modded.desktop) Exec ['flatpak', 'run', '--file-forwarding', '--command=sh', 'com.spotify.Client', '-c', 'eval "$(sed s#LD_PRELOAD=#LD_PRELOAD=$HOME/.spotify-adblock/spotify-adblock.so:#g /app/bin/spotify)"', '@@u', '@@']
2023-02-11 11:56:52,748 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:56:58,390 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 11:56:58,390 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 11:56:58,393 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 11:56:58,823 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-11 11:56:58,921 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-11 11:56:59,421 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Plank (/usr/share/applications/plank.desktop) Exec ['plank']
2023-02-11 11:56:59,429 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 12:09:22,204 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 12:09:22,205 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 12:09:22,208 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 12:09:23,331 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
